Total RAM: 16649436 KB
Free RAM: 4425784 KB
Used RAM: 12223652 KB
Processes:
PID: 18704, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 8308 KB
PID: 19720, Process Name: eclipse.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 579765ms, Memory: 390496 KB
PID: 20800, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 306343ms, Memory: 262392 KB
PID: 688, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 62ms, Memory: 9496 KB
PID: 996, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 100265ms, Memory: 109104 KB
PID: 5652, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 46843ms, Memory: 46812 KB
PID: 1192, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1843ms, Memory: 21104 KB
PID: 17536, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 105265ms, Memory: 181352 KB
PID: 13924, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 316546ms, Memory: 206304 KB
PID: 2140, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5078ms, Memory: 70756 KB
PID: 21700, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 12843ms, Memory: 104060 KB
PID: 17952, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1218ms, Memory: 46840 KB
PID: 15748, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 27593ms, Memory: 113704 KB
PID: 22052, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 703ms, Memory: 48316 KB
PID: 21288, Process Name: DllHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 156ms, Memory: 13340 KB
PID: 21844, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1812ms, Memory: 21880 KB
PID: 13548, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1046ms, Memory: 58020 KB
PID: 4388, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 796ms, Memory: 50384 KB
PID: 12116, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 218ms, Memory: 19020 KB
PID: 12368, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 921ms, Memory: 49496 KB
PID: 25864, Process Name: javaw.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 241156ms, Memory: 90552 KB
PID: 15484, Process Name: TGitCache.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 118968ms, Memory: 19356 KB
PID: 20960, Process Name: ShellExperienceHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4296ms, Memory: 67808 KB
PID: 13092, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 625ms, Memory: 29472 KB
PID: 20292, Process Name: CMMON32.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 171ms, Memory: 2728 KB
PID: 14416, Process Name: StartMenuExperienceHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1546ms, Memory: 71440 KB
PID: 11740, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 43078ms, Memory: 147248 KB
PID: 5944, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 15ms, Memory: 8056 KB
PID: 11168, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 10046ms, Memory: 64336 KB
PID: 4384, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 3031ms, Memory: 36460 KB
PID: 6808, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 421ms, Memory: 20960 KB
PID: 9128, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 25796ms, Memory: 103732 KB
PID: 25564, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 109ms, Memory: 36076 KB
PID: 23688, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 296ms, Memory: 22844 KB
PID: 16064, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1031ms, Memory: 49356 KB
PID: 23636, Process Name: brave.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 453ms, Memory: 50144 KB
