what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336380991963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336380992042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336381027358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336381030688
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336381049996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336381055525
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336381064621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383582649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383629794
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383629794
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383629888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383663928
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336383666481
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383671664
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383671664
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383671773
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383676707
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336383681532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336383683042
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336383812027
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336383812058
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336383812089
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336383813926
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336383819529
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336383819592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383821164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336383821195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383829008
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383843842
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336383843873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383849772
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383898922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336383898953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383919190
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383920578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336383920688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384028363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336384028394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384041345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384051986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384052064
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336384053921
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336384062690
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336384214036
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336384217003
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336384217003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336384218736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384278314
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384769753
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336384784797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384788797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384788797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384788890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336384805732
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336384806857
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336384840057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336384840588
