what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1347175374927
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1347175379010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175384013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175384013
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175384013
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175446700
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347175491510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1347175533218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1347175537021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1347175545593
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1347175545827
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347175609387
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347175633296
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347175635135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175837613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175860134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347175878464
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175880381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347175891135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175892865
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175902622
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175909729
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175916166
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347175919844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175921278
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175926469
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175948164
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175954321
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347175957796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175968083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175968083
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175968083
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175973149
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347175976266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347175995296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176047681
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1347176075798
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1347176078588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176121153
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176127886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176131331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176160368
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347176185835
