what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561290218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561290234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561445449
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561447554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561448693
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336561448724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561449145
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561452062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561453965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561453981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561453981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561491135
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561492352
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336561492383
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561492601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561494816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336561510929
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561512161
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561515171
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561516497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561522175
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336561524156
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336561532844
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336561533998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561547053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561547053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561547069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561581431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561586501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561586501
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561586516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561627960
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561629286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336561629317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561644057
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561644150
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561645039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561660996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336561673303
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561674644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561689306
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336561694344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561699944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1336561707057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561708960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1336561714403
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561717944
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336561723045
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336561727568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561737285
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561737301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561737301
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561921465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561946594
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561952880
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336561956327
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336561959010
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336561959649
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336561969991
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336561970006
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336561970037
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336561978273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336561984060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562010327
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562011824
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562020434
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562026829
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562026845
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562026876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562027890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562029169
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562029715
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562033271
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562033708
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562062096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562067867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562079675
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562080361
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562085571
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562088238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336562096458
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562103883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562124207
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336562124223
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562139930
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562147963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562158663
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562159115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562173247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562173247
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562173325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562177911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562188236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562188236
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562188252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562405858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562407886
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562407886
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562407917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562492598
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562507167
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336562507182
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336562507213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562527803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562527818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562527834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562651260
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562735863
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562735879
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336562735879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336564624984
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336564626861
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336564627314
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336564632349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336564634569
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336564634569
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336564634631
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336565295467
