what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1346999735369
opened,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1346999735369
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1346999756188
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1346999760952
activated,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1346999760967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1346999760983
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1346999760983
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999764263
closed,editor,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1346999764263
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999766122
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999766122
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999766215
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999767621
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346999819115
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999819131
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346999819131
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1346999822786
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999826909
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1346999833016
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999833766
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.DebugLast",1346999859677
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346999859786
activated,perspective,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugPerspective",1346999865190
opened,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1346999865222
activated,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1346999876951
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Resume",1346999877107
executed,command,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.commands.Terminate",1346999887587
closed,view,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui.DebugView",1346999889852
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346999892195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999895834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999908220
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1346999914014
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999914030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1346999914061
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1346999914061
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346999919965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999927462
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346999930445
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346999946454
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000077291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000085944
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000109965
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000109965
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000110340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000115182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1347000117478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000117728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000118899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000119742
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000119852
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000139578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000153197
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1347000155946
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1347000168019
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000173080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000221451
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000233368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000233383
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000233383
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000285050
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1347000285065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000288751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1347000338746
