what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728624913
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728624913
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336728628694
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728638056
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728638122
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336728641622
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728641924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728641988
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336728644503
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728644741
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336728645394
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728645681
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728645760
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1336728649087
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728649405
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728649485
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728655072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1336728655104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336728656298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728659179
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336728659274
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728660293
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728661996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728725459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728749017
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728752869
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728752869
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728752949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728855362
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728867746
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728950348
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728959092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728959092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336728959171
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729008516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729052064
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729055672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729078611
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729078627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729078627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729191198
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729198634
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729203519
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729208623
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729211790
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729215256
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1336729235785
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1336729276718
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1336729276985
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1336729277205
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729279293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729348359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729348375
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729348453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729367070
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729372454
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729381260
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1336729389077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729390584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729394068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729397459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729397475
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729397537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729404774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729408996
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729418006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729418006
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729418069
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729427801
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729435414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729441708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729441708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729441803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729449557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729453764
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729479616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729489992
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729496867
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729499897
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729499897
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729499991
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729507620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729516363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729518702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729528779
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729536251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729588609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729588609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729588703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729598516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729626027
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729626043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729626121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729635448
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729648506
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1336729670358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729683777
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729685705
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729715301
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729732654
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729755744
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729761278
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1336729766765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729768238
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336729926558
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729930131
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336729961640
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1336729998789
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336730000481
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336730014536
