what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336646112339
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1336646112761
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336646117776
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646188491
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336646188523
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646188538
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646254613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646262363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336646267159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336646312204
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646314172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646314172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646314266
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646317875
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646320047
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646332437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646332453
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646332453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646358248
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336646358264
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336646373716
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646375263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646375279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646375279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646393700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646593424
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646593799
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646596517
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1336646596533
closed,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646596549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336646649608
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1336646684825
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1336646686419
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646689497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646696403
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1336646696715
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1336646697668
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646706105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646708855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646708871
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1336646719542
