what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1366724838741
os,sysinfo,,,"win32",1366724838757
arch,sysinfo,,,"x86",1366724838757
ws,sysinfo,,,"win32",1366724838757
locale,sysinfo,,,"en_US",1366724838757
processors,sysinfo,,,"2",1366724838757
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1366724838757
java.runtime.version,sysinfo,,,"1.7.0-b147",1366724838757
java.specification.name,sysinfo,,,"Java Platform API Specification",1366724838757
java.specification.vendor,sysinfo,,,"Oracle Corporation",1366724838757
java.specification.version,sysinfo,,,"1.7",1366724838757
java.vendor,sysinfo,,,"Oracle Corporation",1366724838757
java.version,sysinfo,,,"1.7.0",1366724838757
java.vm.info,sysinfo,,,"mixed mode",1366724838757
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1366724838757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1366724838757
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1366724838757
java.vm.specification.version,sysinfo,,,"1.7",1366724838757
java.vm.vendor,sysinfo,,,"Oracle Corporation",1366724838757
java.vm.version,sysinfo,,,"21.0-b17",1366724838757
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1366724838898
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1366724838960
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1366724839069
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1366724839148
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1366724841866
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1366724842054
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1366724842851
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1366724843241
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366724844616
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1366724846398
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1366724847429
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366724851523
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1366724851554
