what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1344677915093
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1344677915093
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1344677915093
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1344677915093
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1344677915108
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1344677915108
os,sysinfo,,,"win32",1344677915108
arch,sysinfo,,,"x86",1344677915108
ws,sysinfo,,,"win32",1344677915108
locale,sysinfo,,,"en_US",1344677915108
processors,sysinfo,,,"2",1344677915108
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1344677915108
java.runtime.version,sysinfo,,,"1.7.0_01-b08",1344677915108
java.specification.name,sysinfo,,,"Java Platform API Specification",1344677915108
java.specification.vendor,sysinfo,,,"Oracle Corporation",1344677915108
java.specification.version,sysinfo,,,"1.7",1344677915108
java.vendor,sysinfo,,,"Oracle Corporation",1344677915108
java.version,sysinfo,,,"1.7.0_01",1344677915108
java.vm.info,sysinfo,,,"mixed mode, sharing",1344677915108
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1344677915108
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1344677915108
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1344677915108
java.vm.specification.version,sysinfo,,,"1.7",1344677915108
java.vm.vendor,sysinfo,,,"Oracle Corporation",1344677915108
java.vm.version,sysinfo,,,"21.1-b02",1344677915108
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1344677915124
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1344677916341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677916778
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677918120
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677928028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677930010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677931180
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1344677989056
