what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946511127
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946511127
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946514837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946518531
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946518531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946518546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946525809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946526994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946528428
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946547801
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946547817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946547817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946580407
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346946586860
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346946595650
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346946626604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946628646
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946634397
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1346946647053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946648721
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946648954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1346946652446
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346946662499
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346946667658
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346946676495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946683602
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946685145
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110506,"org.eclipse.ui.externaltools",1346946686797
activated,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1346946695884
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1346946709179
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1346946717018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346946717065
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1346946719699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1346946722131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946726401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946726495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946744091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1346946766816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1346946777508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1346946778505
