what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339489986960
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339489986960
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339489987726
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339489989695
opened,view,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit.ResultView",1339490028730
started,bundle,org.eclipse.wb.os,1.1.0.r37x201109091012,"org.eclipse.wb.os",1339490032043
started,bundle,org.eclipse.wb.os.win32,1.1.0.r37x201109091012,"org.eclipse.wb.os.win32",1339490032058
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339490038903
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339490041981
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339490064045
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339490083688
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490088376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490088376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490088376
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490093251
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339490095689
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339490096923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490257110
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490258532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339490272095
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1339490281737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1339490284487
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490286206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490286206
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490286206
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490430250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339490605860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339490666037
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339490666256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339490669865
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339490690867
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1339490711072
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1339490716916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1339490724495
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339490726839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339490728058
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490775672
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339490776703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339492566004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339492566832
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339492566832
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339492566910
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339492569192
