Total RAM: 16649436 KB
Free RAM: 5087248 KB
Used RAM: 11562188 KB
Processes:
PID: 18704, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 31ms, Memory: 8232 KB
PID: 19720, Process Name: eclipse.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 580171ms, Memory: 113112 KB
PID: 20800, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 324203ms, Memory: 261364 KB
PID: 688, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 62ms, Memory: 9480 KB
PID: 996, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 108171ms, Memory: 117504 KB
PID: 5652, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 48796ms, Memory: 47448 KB
PID: 1192, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1953ms, Memory: 21388 KB
PID: 17536, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 111156ms, Memory: 180760 KB
PID: 13924, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 369296ms, Memory: 271056 KB
PID: 2140, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 5140ms, Memory: 73168 KB
PID: 21700, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 13421ms, Memory: 136596 KB
PID: 17952, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1234ms, Memory: 48696 KB
PID: 15748, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 27750ms, Memory: 87804 KB
PID: 22052, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 750ms, Memory: 51168 KB
PID: 21288, Process Name: DllHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 187ms, Memory: 15352 KB
PID: 21844, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1843ms, Memory: 21936 KB
PID: 13548, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 1078ms, Memory: 59116 KB
PID: 4388, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 796ms, Memory: 49056 KB
PID: 12116, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 218ms, Memory: 19064 KB
PID: 12368, Process Name: chrome.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 921ms, Memory: 50316 KB
PID: 25864, Process Name: javaw.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 251234ms, Memory: 90500 KB
PID: 15484, Process Name: TGitCache.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 135500ms, Memory: 21084 KB
PID: 20960, Process Name: ShellExperienceHost.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 4296ms, Memory: 69052 KB
PID: 13092, Process Name: RuntimeBroker.exe, Username: DESKTOP-S4MLJHQ\Admin, CPU: 625ms, Memory: 29320 KB
PID: 20292, Process Name: CMMON32.EXE, Username: DESKTOP-S4MLJHQ\Admin, CPU: 187ms, Memory: 2724 KB
